SRR15899201,SAMN21359864
SRR15899202,SAMN21359863
SRR15899203,SAMN21359862
SRR15899204,SAMN21359861
SRR15899205,SAMN21359860
SRR15899206,SAMN21359859
SRR15899207,SAMN21359858
SRR15899208,SAMN21359857
SRR15899209,SAMN21359856
SRR15899210,SAMN21359855
SRR15899211,SAMN21359684
SRR15899212,SAMN21359854
SRR15899213,SAMN21359853
SRR15899214,SAMN21359852
SRR15899215,SAMN21359851
SRR15899216,SAMN21359850
SRR15899217,SAMN21359849
SRR15899218,SAMN21359848
SRR15899219,SAMN21359847
SRR15899220,SAMN21359846
SRR15899221,SAMN21359845
SRR15899222,SAMN21359683
SRR15899223,SAMN21359844
SRR15899224,SAMN21359843
SRR15899225,SAMN21359842
SRR15899226,SAMN21359841
SRR15899227,SAMN21359840
SRR15899228,SAMN21359839
SRR15899229,SAMN21359838
SRR15899230,SAMN21359837
SRR15899231,SAMN21359836
SRR15899232,SAMN21359835
SRR15899233,SAMN21359682
SRR15899234,SAMN21359834
SRR15899235,SAMN21359833
SRR15899236,SAMN21359832
SRR15899237,SAMN21359831
SRR15899238,SAMN21359830
SRR15899239,SAMN21359829
SRR15899240,SAMN21359828
SRR15899241,SAMN21359827
SRR15899242,SAMN21359826
SRR15899243,SAMN21359825
SRR15899244,SAMN21359681
SRR15899245,SAMN21359824
SRR15899246,SAMN21359823
SRR15899247,SAMN21359822
SRR15899248,SAMN21359821
SRR15899249,SAMN21359820
SRR15899250,SAMN21359819
SRR15899251,SAMN21359818
SRR15899252,SAMN21359817
SRR15899253,SAMN21359816
SRR15899254,SAMN21359815
SRR15899255,SAMN21359680
SRR15899256,SAMN21359814
SRR15899257,SAMN21359813
SRR15899258,SAMN21359812
SRR15899259,SAMN21359811
SRR15899260,SAMN21359810
SRR15899261,SAMN21359809
SRR15899262,SAMN21359808
SRR15899263,SAMN21359807
SRR15899264,SAMN21359806
SRR15899265,SAMN21359805
SRR15899266,SAMN21359679
SRR15899267,SAMN21359804
SRR15899268,SAMN21359803
SRR15899269,SAMN21359802
SRR15899270,SAMN21359801
SRR15899271,SAMN21359800
SRR15899272,SAMN21359799
SRR15899273,SAMN21359798
SRR15899274,SAMN21359797
SRR15899275,SAMN21359796
SRR15899276,SAMN21359795
SRR15899277,SAMN21359678
SRR15899278,SAMN21359794
SRR15899279,SAMN21359793
SRR15899280,SAMN21359792
SRR15899281,SAMN21359791
SRR15899282,SAMN21359790
SRR15899283,SAMN21359789
SRR15899284,SAMN21359788
SRR15899285,SAMN21359787
SRR15899286,SAMN21359786
SRR15899287,SAMN21359785
SRR15899288,SAMN21359677
SRR15899289,SAMN21359784
SRR15899290,SAMN21359783
SRR15899291,SAMN21359782
SRR15899292,SAMN21359781
SRR15899293,SAMN21359780
SRR15899294,SAMN21359779
SRR15899295,SAMN21359778
SRR15899296,SAMN21359777
SRR15899297,SAMN21359776
SRR15899298,SAMN21359775
SRR15899300,SAMN21359774
SRR15899301,SAMN21359773
SRR15899302,SAMN21359772
SRR15899303,SAMN21359771
SRR15899304,SAMN21359770
SRR15899305,SAMN21359769
SRR15899306,SAMN21359768
SRR15899307,SAMN21359767
SRR15899308,SAMN21359766
SRR15899309,SAMN21359765
SRR1592286,SAMN03083677
SRR1592287,SAMN03083678
SRR1592288,SAMN03083679
SRR1592289,SAMN03083680
SRR1592290,SAMN03083681
SRR1592291,SAMN03083682
SRR1592292,SAMN03083683
SRR1592293,SAMN03083684
SRR1592294,SAMN03083685
SRR1592295,SAMN03083686
SRR1592296,SAMN03083687
SRR1592297,SAMN03083688
SRR1592298,SAMN03083689
SRR1592299,SAMN03083690
SRR1592300,SAMN03083691
SRR1592301,SAMN03083692
SRR1592302,SAMN03083693
SRR1592303,SAMN03083694
SRR1592304,SAMN03083695
SRR1592305,SAMN03083696
SRR1592306,SAMN03083697
SRR1592307,SAMN03083698
SRR1592308,SAMN03083699
SRR1592309,SAMN03083700
SRR15946939,SAMN21465496
SRR15946940,SAMN21465495
SRR15946941,SAMN21465494
SRR15946942,SAMN21465493
SRR15946943,SAMN21465492
SRR15946944,SAMN21465491
SRR15946945,SAMN21465490
SRR15946946,SAMN21465489
SRR15946947,SAMN21465498
SRR15946948,SAMN21465497
SRR15946949,SAMN21465488
SRR15946950,SAMN21465487
SRR15947330,SAMN21448196
SRR15947331,SAMN21448195
SRR15947332,SAMN21448194
SRR15947333,SAMN21448193
SRR15947334,SAMN21448192
SRR15947335,SAMN21448191
SRR15947336,SAMN21448190
SRR15947337,SAMN21448189
SRR15947338,SAMN21448198
SRR15947339,SAMN21448197
SRR15947340,SAMN21448188
SRR15947341,SAMN21448187
SRR16004263,SAMN21545858
SRR16004264,SAMN21545857
SRR16004265,SAMN21545856
SRR16004266,SAMN21545855
SRR16004267,SAMN21545854
SRR16013994,SAMN21555985
SRR16013995,SAMN21555985
SRR16013996,SAMN21555985
SRR16013997,SAMN21555984
SRR16013998,SAMN21555984
SRR16013999,SAMN21555984
SRR16093006,SAMN21873508
SRR16093007,SAMN21873508
SRR16093008,SAMN21873508
SRR16093009,SAMN21873508
SRR16093010,SAMN21873507
SRR16093011,SAMN21873507
SRR16093012,SAMN21873507
SRR16093013,SAMN21873507
SRR1636704,SAMN03083677
SRR1636705,SAMN03083677
SRR1636706,SAMN03083678
SRR1636707,SAMN03083678
SRR1636708,SAMN03083679
SRR1636709,SAMN03083679
SRR1636710,SAMN03083680
SRR1636711,SAMN03083680
SRR1636712,SAMN03083681
SRR1636713,SAMN03083681
SRR1636714,SAMN03083682
SRR1636715,SAMN03083682
SRR1636716,SAMN03083683
SRR1636717,SAMN03083683
SRR1636718,SAMN03083684
SRR1636719,SAMN03083684
SRR1636720,SAMN03083685
SRR1636721,SAMN03083685
SRR1646505,SAMN03173245
SRR1646506,SAMN03173245
SRR1646507,SAMN03173246
SRR1646508,SAMN03173246
SRR1646509,SAMN03173247
SRR1646510,SAMN03173247
SRR1646511,SAMN03173248
SRR1646512,SAMN03173248
SRR1657440,SAMN03169132
SRR1657441,SAMN03169133
SRR1657442,SAMN03169134
SRR1657443,SAMN03169135
SRR1657444,SAMN03169136
SRR1657445,SAMN03169137
SRR1657446,SAMN03169138
SRR1657447,SAMN03169139
SRR1657448,SAMN03169140
SRR1657449,SAMN03169141
SRR1657450,SAMN03169142
SRR1657451,SAMN03169143
SRR1657452,SAMN03169144
SRR1657453,SAMN03169145
SRR1657454,SAMN03169146
SRR1657455,SAMN03169147
SRR1657456,SAMN03169148
SRR1657457,SAMN03169149
SRR1657458,SAMN03169150
SRR1657459,SAMN03169151
SRR1657460,SAMN03169152
SRR1657461,SAMN03169153
SRR1657462,SAMN03169154
SRR1657463,SAMN03169155
SRR1657464,SAMN03169156
SRR1657465,SAMN03169157
SRR1657466,SAMN03169158
SRR1657467,SAMN03169159
SRR1657468,SAMN03169160
SRR1657469,SAMN03169161
SRR16581310,SAMN22583752
SRR16587857,SAMN22591248
SRR16588739,SAMN22593243
SRR16604662,SAMN22612659
SRR16606023,SAMN22627653
SRR16606079,SAMN22627948
SRR16640921,SAMN21359753
SRR16640922,SAMN21359752
SRR16640923,SAMN21359751
SRR16640924,SAMN21359764
SRR16640925,SAMN21359763
SRR16640926,SAMN21359762
SRR16640927,SAMN21359761
SRR16640928,SAMN21359760
SRR16640929,SAMN21359759
SRR16640930,SAMN21359758
SRR16640931,SAMN21359757
SRR16640932,SAMN21359756
SRR16640933,SAMN21359755
