SRR12328149,SAMN15648315
SRR12328150,SAMN15648314
SRR12328151,SAMN15648313
SRR12328152,SAMN15648312
SRR12328153,SAMN15648311
SRR12328154,SAMN15648310
SRR12328155,SAMN15648309
SRR12328156,SAMN15648308
SRR12328157,SAMN15648307
SRR12328158,SAMN15648064
SRR12328159,SAMN15648306
SRR12328160,SAMN15648305
SRR12328161,SAMN15648304
SRR12328162,SAMN15648303
SRR12328163,SAMN15648302
SRR12328164,SAMN15648301
SRR12328165,SAMN15648300
SRR12328166,SAMN15648299
SRR12328167,SAMN15648298
SRR12328168,SAMN15648297
SRR12328169,SAMN15648063
SRR12328170,SAMN15648296
SRR12328171,SAMN15648295
SRR12328172,SAMN15648294
SRR12328173,SAMN15648293
SRR12328174,SAMN15648292
SRR12328175,SAMN15648291
SRR12328176,SAMN15648290
SRR12328177,SAMN15648289
SRR12328178,SAMN15648288
SRR12328179,SAMN15648287
SRR12328180,SAMN15648062
SRR12328181,SAMN15648286
SRR12328182,SAMN15648285
SRR12328183,SAMN15648284
SRR12328184,SAMN15648607
SRR12328185,SAMN15648094
SRR12328186,SAMN15648606
SRR12328187,SAMN15648605
SRR12328188,SAMN15648604
SRR12328189,SAMN15648603
SRR12328190,SAMN15648602
SRR12328191,SAMN15648601
SRR12328192,SAMN15648600
SRR12328193,SAMN15648599
SRR12328194,SAMN15648598
SRR12328195,SAMN15648597
SRR12328196,SAMN15648093
SRR12328197,SAMN15648596
SRR12328198,SAMN15648595
SRR12328199,SAMN15648594
SRR12328200,SAMN15648593
SRR12328201,SAMN15648592
SRR12328202,SAMN15648591
SRR12328203,SAMN15648590
SRR12328204,SAMN15648589
SRR12328205,SAMN15648588
SRR12328206,SAMN15648587
SRR12328207,SAMN15648092
SRR12328208,SAMN15648586
SRR12328209,SAMN15648585
SRR12328210,SAMN15648584
SRR12328211,SAMN15648583
SRR12328212,SAMN15648582
SRR12328213,SAMN15648581
SRR12328214,SAMN15648580
SRR12328215,SAMN15648579
SRR12328216,SAMN15648578
SRR12328217,SAMN15648577
SRR12328218,SAMN15648091
SRR12328219,SAMN15648576
SRR12328220,SAMN15648575
SRR12328221,SAMN15648574
SRR12328222,SAMN15648573
SRR12328223,SAMN15648572
SRR12328224,SAMN15648427
SRR12328225,SAMN15648076
SRR12328226,SAMN15648426
SRR12328227,SAMN15648425
SRR12328228,SAMN15648424
SRR12328229,SAMN15648423
SRR12328230,SAMN15648422
SRR12328231,SAMN15648421
SRR12328232,SAMN15648420
SRR12328233,SAMN15648419
SRR12328234,SAMN15648418
SRR12328235,SAMN15648417
SRR12328236,SAMN15648075
SRR12328237,SAMN15648416
SRR12328238,SAMN15648415
SRR12328239,SAMN15648414
SRR12328240,SAMN15648413
SRR12328241,SAMN15648412
SRR12328242,SAMN15648411
SRR12328243,SAMN15648410
SRR12328244,SAMN15648409
SRR12328245,SAMN15648408
SRR12328246,SAMN15648407
SRR12328247,SAMN15648074
SRR12328248,SAMN15648406
